site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
millbrook,8,DWOOD,grabcut2,2.21,14.143573928523129,0.9587119353655297,595653,0.2999328380672917,1.1426493633232928,0.708492330714553,0.8514369496839621,0.24994854629039764,0.06564947217702866,2.3072774611069655
millbrook,9,DWOOD,orig,0.0,5.211915690863888,0.16157965616545633,250416,0.2999328380672917,1.0,1.0,0.5739430357116527,0.19427980482578278,0.04692662134766579,2.34786988141221
millbrook,9,DWOOD,grabcut2,0.57,5.211915690863888,0.16157965616545633,250416,0.2999328380672917,1.2653788342704448,0.6562067562067562,0.8110811858467989,0.27296146750450134,0.038308702409267426,2.4351336471013276
millbrook,10,DWOOD,orig,0.0,15.0,1.3266043873202586,532228,0.2999328380672917,1.0,1.0,0.639392392491294,0.10639344155788422,0.08946997672319412,1.7523330185462618
millbrook,10,DWOOD,grabcut2,2.59,15.0,1.3266043873202586,532228,0.2999328380672917,1.1945504974129104,0.7564765714471806,0.8601703061227202,0.5804345607757568,0.0864156037569046,1.751434861155416
millbrook,11,DWOOD,orig,0.0,5.371379432091006,0.2070589935649336,331520,0.2999328380672917,1.0,1.0,0.6729414312432695,0.42295247316360474,0.15373146533966064,2.35365968064317
millbrook,11,DWOOD,grabcut2,0.87,5.371379432091006,0.2070589935649336,331520,0.2999328380672917,0.9137841126368851,0.6599449700350534,0.8598905675120445,0.5963248014450073,0.0935722067952156,2.4706708380908116
millbrook,12,DWOOD,orig,0.0,14.233595642854434,1.104746217074816,501772,0.2999328380672917,1.0,1.0,0.6411831787731906,0.3358675539493561,0.13669322431087494,2.4390062454524095
millbrook,12,DWOOD,grabcut2,3.5,14.233595642854434,1.104746217074816,501772,0.2999328380672917,1.33997312594161,0.7154038112522686,0.8771696316607053,0.7764276266098022,0.142403706908226,2.147051369724361
millbrook,13,DWOOD,orig,0.0,4.0,0.11837667283143123,265815,0.2999328380672917,1.0,1.0,0.7409548587301459,0.662889301776886,0.1449953317642212,2.5782653342782464
millbrook,13,DWOOD,grabcut2,0.49,4.0,0.11837667283143123,265815,0.2999328380672917,1.0780335840741584,0.7368855582370126,0.8888402479990285,0.7149369120597839,0.097926065325737,2.8194307142788637
millbrook,14,DWOOD,orig,0.0,4.5772551069294956,0.06018478799996145,113696,0.2999328380672917,1.0,1.0,0.6378973644627047,0.3810155987739563,0.06922531127929688,1.248501666867046
millbrook,14,DWOOD,grabcut2,0.28,4.5772551069294956,0.06018478799996145,113696,0.2999328380672917,0.8408309669705575,0.7563097105375731,0.7456527052776014,0.37102407217025757,0.062166862189769745,1.1488944412228224
millbrook,15,DWOOD,orig,0.0,7.122282442741447,0.9507631216995848,813400,0.2999328380672917,1.0,1.0,0.6457918883022081,0.25017982721328735,0.10915583372116089,8.19827505922492
millbrook,15,DWOOD,grabcut2,3.12,7.122282442741447,0.9507631216995848,813400,0.2999328380672917,0.9644009271084623,0.7666071124723498,0.8607473631271864,0.36560681462287903,0.10349240899085999,4.8788448054989395
millbrook,16,DWOOD,orig,0.0,10.131336930857248,1.909376633348928,1907061,0.2999328380672917,1.0,1.0,0.6922301797761661,0.21572136878967285,0.10999280214309692,7.645669494272651
millbrook,16,DWOOD,grabcut2,6.98,10.131336930857248,1.909376633348928,1907061,0.2999328380672917,1.2704424145062587,0.7435630275206124,0.8417290630955468,0.3528461158275604,0.10043549537658691,7.7084033480979235
millbrook,17,DWOOD,orig,0.0,9.527706710516336,0.7063007670300893,597536,0.2999328380672917,1.0,1.0,0.5448482257546634,0.477870374917984,0.10394670814275742,3.4386150987178565
millbrook,17,DWOOD,grabcut2,3.15,9.527706710516336,0.7063007670300893,597536,0.2999328380672917,0.995568064594185,0.7375500382563954,0.8430393704273275,0.6647847890853882,0.1109820082783699,2.983601918344774
millbrook,18,DWOOD,orig,0.0,15.0,2.10546882388957,722800,0.2999328380672917,1.0,1.0,0.6124334468054793,0.149847149848938,0.3813125789165497,1.8840586042174943
millbrook,18,DWOOD,grabcut2,5.02,15.0,2.10546882388957,722800,0.2999328380672917,0.9886648152104252,0.7792588571690698,0.84310862211165,0.17592833936214447,0.39142706990242004,2.4884961423598053
millbrook,19,DWOOD,orig,0.0,8.037085931799671,0.627208570999743,438600,0.2999328380672917,1.0,1.0,0.6671434440655112,0.2063301056623459,0.06112246960401535,4.2503162757479
millbrook,19,DWOOD,grabcut2,1.28,8.037085931799671,0.627208570999743,438600,0.2999328380672917,1.1106964460010336,0.7748916703882968,0.8752977748183058,0.9064128994941711,0.05022605508565903,2.586829330793365
millbrook,20,DWOOD,orig,0.0,6.306027601305579,0.15293272652650902,177472,0.2999328380672917,1.0,1.0,0.39000169172886917,0.11475829035043716,0.16257786750793457,1.6681641604646316
millbrook,20,DWOOD,grabcut2,0.76,6.306027601305579,0.15293272652650902,177472,0.2999328380672917,0.6889777673214916,0.6512938470385279,0.5443171459216575,0.06319361180067062,0.13816674053668976,1.539213350947126
millbrook,21,DWOOD,orig,0.0,6.623356340349719,0.16836399749982714,189888,0.2999328380672917,1.0,1.0,0.6098264563036384,0.3157460689544678,0.11097568273544312,1.7360235485982207
millbrook,21,DWOOD,grabcut2,0.48,6.623356340349719,0.16836399749982714,189888,0.2999328380672917,0.8572955067585617,0.7680297019631777,0.8618407021712061,0.2331947386264801,0.07698283344507217,1.662572051510348
millbrook,22,DWOOD,orig,0.0,5.491141164842536,0.14251329469988813,194032,0.2999328380672917,1.0,1.0,0.46961326647962287,0.12784099578857422,0.07311960309743881,2.109393258760786
millbrook,22,DWOOD,grabcut2,0.65,5.491141164842536,0.14251329469988813,194032,0.2999328380672917,0.9270879363676535,0.6222234031246678,0.7445145168827612,0.359711617231369,0.075227752327919,1.3600725136527585
millbrook,23,DWOOD,orig,0.0,10.497752596897719,0.34212717073778026,262013,0.2999328380672917,1.0,1.0,0.7621814653712129,0.41339436173439026,0.12346619367599487,0.8572425201909413
millbrook,23,DWOOD,grabcut2,1.2,10.497752596897719,0.34212717073778026,262013,0.2999328380672917,0.9452436683060254,0.841045426260112,0.9030743191720941,0.7528917193412781,0.0993601530790329,1.06947241850481
millbrook,24,DWOOD,orig,0.0,12.135466936401029,1.125542833706879,788670,0.2999328380672917,1.0,1.0,0.6578630846829501,0.09782300889492035,0.22960931062698364,3.642248927832382
millbrook,24,DWOOD,grabcut2,4.19,12.135466936401029,1.125542833706879,788670,0.2999328380672917,0.8423118116277954,0.6425379994441712,0.8104461526340352,0.2763368487358093,0.028996216133236885,3.207504834773681
