site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
northfieldfarm,14,"CFPGM, LMEAD",sam2tile,6.12,15.0,5.763679955309966,1121637,0.3999735911892182,0.9949479387867836,0.9768448733042129,0.7383800887921845,0.5585173964500427,0.25764623284339905,2.3263357469711745
northfieldfarm,15,GQSIG,sam2,3.73,15.0,14.30329045797594,2381526,0.3999735911892182,0.8823535991070041,0.8581619482637359,0.6661756381356015,0.2524299621582031,0.08005613088607788,5.103663766545561
northfieldfarm,15,GQSIG,sam2iter,4.1,15.0,14.30329045797594,2381526,0.3999735911892182,0.9421185613190928,0.9220439956741535,0.7428071516073899,0.1745423972606659,0.0962410494685173,1.6872231449449877
northfieldfarm,15,GQSIG,sam2tile,11.72,15.0,14.30329045797594,2381526,0.3999735911892182,0.981237466012131,0.96208339194747,0.846698787318797,0.25669533014297485,0.1128164529800415,1.6920429584636492
northfieldfarm,16,GQSIG,sam2,3.04,14.071814321277314,2.476337345676537,1217622,0.3999735911892182,0.778487759809274,0.7782120270540888,0.5544038665003536,0.18156307935714722,0.12342653423547745,1.3962421225876631
northfieldfarm,16,GQSIG,sam2iter,2.99,14.071814321277314,2.476337345676537,1217622,0.3999735911892182,0.851069603364841,0.8459412268776537,0.7287899288537728,0.14258141815662384,0.12975552678108215,0.5684105110424835
northfieldfarm,16,GQSIG,sam2tile,6.03,14.071814321277314,2.476337345676537,1217622,0.3999735911892182,0.971371715435756,0.9667717337355533,0.6278036610091282,0.22708666324615479,0.13120137155056,1.07028010039187
northfieldfarm,17,LFENS,sam2,1.43,14.838103665900684,0.903935198150173,334650,0.3999735911892182,1.1336447936575351,0.845805266380894,0.7986386933215875,0.8478237986564636,0.22938182950019836,1.195476976185291
northfieldfarm,17,LFENS,sam2iter,1.65,14.838103665900684,0.903935198150173,334650,0.3999735911892182,1.0144758264316558,0.929193641324611,0.8027322521095653,0.5680582523345947,0.23483982682228088,1.725791125540083
northfieldfarm,17,LFENS,sam2tile,2.68,14.838103665900684,0.903935198150173,334650,0.3999735911892182,0.9939477596092589,0.9667993297025556,0.8147822630315977,0.3561979830265045,0.2365768849849701,1.7019145401227982
northfieldfarm,18,LMEAD,sam2,1.03,4.0,0.006844394880802918,75594,0.3999735911892182,2.812646370023419,0.34545454545454546,0.8825876838278595,0.7968637347221375,0.1159168928861618,1.6124873834655975
northfieldfarm,18,LMEAD,sam2iter,0.81,4.0,0.006844394880802918,75594,0.3999735911892182,2.540983606557377,0.36832579185520364,0.8904250765681455,0.8158079385757446,0.1164361834526062,2.4027995809371347
northfieldfarm,18,LMEAD,sam2tile,0.72,4.0,0.006844394880802918,75594,0.3999735911892182,1.0491803278688525,0.6173752310536045,0.9022590403370233,0.5829323530197144,0.1256003975868225,2.6006557163040624
northfieldfarm,19,LMEAD,sam2,4.24,15.0,4.001258176666689,1949342,0.3999735911892182,0.8708908737615647,0.8016178276755567,0.5977976416293194,0.27649909257888794,0.07448461651802063,3.1171055513247885
northfieldfarm,19,LMEAD,sam2iter,4.07,15.0,4.001258176666689,1949342,0.3999735911892182,0.8557857616926682,0.8474979700361414,0.6625258782417626,0.26812899112701416,0.08621539175510406,1.2751728054294071
